,Text
10650,noticed several months ago start feeling resentful walked toward pedestrian crossing intention course crossing road
2041,love lots different kinds sports love hanging friends free time also unhealthy session greys anatomy im feeling ecstatic ty
8668,feel even killed agonized extent
1114,feel numb way wound really starts hurt
13902,feel happy inspired little sis love reading writing
11963,began feel unimportant useless insecure disconnected everything used know
11072,subject unfair treatment working group
3002,ive feeling restless inside dont understand
19771,cant feel anything like said everything always hurt bad
8115,feeling wednesday night thrilled training ha
3525,always feel joyful quite often throw prayer window
7879,want feel happy
16441,feeling bit nostalgic typed literally without thinking writing
16296,meet team feel welcomed accepted
12566,feel probably move meat story get distracted side dishes happened good music
5252,even feel surprised dark outside
19393,miss feeling exhausted outside heat minutes
16796,told well makes feel really unimportant cant make effort get straight
8094,feel dangerous invest markets
322,feel empty baby isnt
9923,go sleep say feeling exhausted suddenly go thoughts working hard never get balance right feel like hard etc go whole story life everything seems overwhelming
7459,back working confidence feeling terrific
19024,enjoy book however especially liked characters brothers one fired detectin spirit feeling skeptical willing back brother fight
17553,im feeling nostalgic listening kind music
9119,im also pretty close exiting window feel like makes look freakishly neurotic
16421,thought would miss feeling useful
16060,miss talks cuddling kissing feelings share beloved
10120,im feeling punished loved previous books
19055,like think present life times working mum good standard ever miss apostrophe miss spell particular word please feel free call
3649,feel like counted letter one supporting current status quo say least stated
3941,feel sense loss extremely talented passionate engineer wants work certain dsp design eventually takes job financial number crunching software company get right kind job
17880,feel confident something solid
16675,ive disregarded devalued heartbroken boyfriends need someone make feel valued attractive loved adored certain men call
12630,still feel legs get cold
11443,feeling soooo eco friendly
12157,feel time always mind got time time know divine yes know divine began mount sinai
13835,feeling annoyed suddenly
3434,im feeling little less jaded
18739,feel violent ever right
17407,know bad feels like someone disappointed
15440,look back pop music childhood still feels fake
10406,always remember feeling bitchy world stop take moment breathe think everything grateful joy seeps back
6517,spend energy making world live better place everything power kick people feel superior others dont challenges
971,still feel alone cant give anything call feel breathing keeping awake feel beating
16487,know going get dark chocolate every day feel deprived
19730,feel like im distracted days
13137,look pretty today without feeling vain
3669,feel capacity producer actor someone like david would far accepted comes onscreen shows boxing different light
15983,im still feeling wimpy may another skip around
4058,ashamed feel like moment see terrified crying children dead ones
14976,feel important write happened heal sure many need see someone deals find strength heal well
15698,im feeling uncharacteristically optimistic today perhaps even unrealistically optimistic
13829,still feel little bit listless im coping getting much work done possible distract trying overthink anything
13419,feel like bit strange one
960,put hand scar covered chest feel half heart beating oh beating feel sweet rhythm remind alone
17744,feel like obnoxious american amazing race discounting people cant speak english
9864,im feeling pretty smug going yesterday instead waiting
11263,im full life feel appalled
15782,feel paranoid
17196,could feel triumphant smirk back
7554,dont enought time get tired made feel unimportant
10498,feel humiliated failing achieve
17059,always feel pressured play someone
17928,know feeling awkward friends space contributes
7085,still left studio feeling pretty mellow chill perfect way commemorate anniversary training rudy weekend graduated program years ago
14753,feel divine whenever captured moment smiled silently saving details treasure chest fill memories knew happened lifespan
4519,always access feeling stressed usually time need silence
3024,overwhelming feeling sadness people world hateful
12121,always feel smart sometimes feel lazy want something else feels easier
18494,feel important fancy room fancy furniture nice view downtown dallas
5483,lowest level class first definitely difficult manage hotshot boys men best class last period leaves feeling somewhat useful end day
1419,feel like im fucking loyal would never boyfriend settling someone doesnt values
6209,feeling discouraged
10742,feel welcomed loved
16143,feel insulted feels work money anymore put anything people buy radio find something play
17617,like things feel rushed
14568,spontaneously come new tune taking solo feel creative flow going knowing going play next surprising answers indisputably
980,could look act like know lie feel smug know ness frankly way lazy
2783,love community death sometimes feel times arent supportive
7713,feel overwhelmed
11518,make today bonus feel like today already worthwhile
8600,feel like valentines day confessing romantic love said jin hee oh office worker shopping lotte department store
11640,feel little uncertain structure revalidation portfolio
18830,feel really uptight unable unwind
12562,feel weird
12751,comfortable confident feeling safe meditate
6384,feel defeated extremely agitated well frustrated beyond words
4807,feel curious one think might fall love uncle montagues tales terror
6195,feeling emotionally drained
10648,hope youre feeling fond
7567,feel thrilled actually got see marvelous home
16397,cant tell feels like face certainly felt wonderful body
17524,wrote article extroverts become educated introverts introverts able feel free stay true good thing society point view
1346,feel cold drained time im either hungry tired cold moment sort sucks
13124,dont know explain emotions felt moment assure one thing didnt convince feel passionate dominican republic
